femme,Petit,Alphonsine,4/9/1956,QUIMPER,58.3,165,A+
homme,D'Avis,Daniel,8/4/1939,METZ,97.9,174,O+
femme,Lessard,Capucine,7/31/1978,LA ROCHELLE,56.7,155,O+
femme,Perillard,Albracca,9/30/1937,MONTROUGE,83.0,170,A-
femme,Echeverri,Denise,2/8/1979,SAINT-ANDRÉ,96.4,175,O+
femme,Édouard,Ermengardi,3/16/1933,SAINT-MARTIN-D'HÈRES,52.3,155,A+
femme,Lavoie,Kari,1/6/1999,ABBEVILLE,47.3,152,A+
femme,Garceau,Babette,1/6/1980,METZ,86.5,170,A+
homme,Vaillancour,Aimé,4/29/1987,AMIENS,74.7,178,B+
femme,Bilodeau,Afrodille,1/17/1946,MONTIGNY-LÈS-METZ,70.6,154,AB+
femme,Riquier,Camille,6/23/1971,SAINT-LOUIS,68.3,157,O+
femme,Gagnon,Constance,11/15/1963,NICE,68.9,171,O+
homme,Cyr,Parfait,4/25/1974,SAVIGNY-SUR-ORGE,69.4,180,B+
homme,Davignon,Eliot,1/28/1956,JOUÉ-LÈS-TOURS,86.8,165,AB+
femme,Moreau,Esmeraude,6/26/1933,LE HAVRE,74.6,170,B+
femme,Grivois,Mariette,2/27/1990,AUBAGNE,62.5,158,B+
femme,Bériault,Armina,10/27/1952,LENS,89.6,154,O+
homme,Thibault,Astolpho,4/10/1989,SAINT-LOUIS,69.0,178,B+
homme,Lachapelle,Stéphane,3/20/1989,SAINTE-MARIE,85.2,169,O+
homme,Pitre,Olivier,6/30/1945,PARIS,98.7,181,B+
femme,Saucier,Marthe,5/13/1949,MONTÉLIMAR,62.4,152,O+
homme,Hervieux,Ernest,9/26/1991,CHAUMONT,65.6,181,A+
homme,Guimond,Guillaume,3/12/1945,COLMAR,90.1,172,A+
homme,Séguin,Paien,12/25/1956,LA SEYNE-SUR-MER,68.9,178,O+
femme,Parent,Pansy,5/5/1966,SAINT-ÉTIENNE-DU-ROUVRAY,88.5,169,A+
